course,stop_code,stop_id,stop_name,route_short_name,trip_headsign,direction,departure_time,is_theorical
268436754,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,07:59:39,1
268436744,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,08:40:39,1
268436756,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,09:21:39,1
268436746,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,10:01:39,1
268436758,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,10:42:39,1
268436748,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,11:22:39,1
268436760,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,12:01:39,1
268436750,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,12:42:39,1
268436762,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,13:21:39,1
268436777,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,14:02:39,1
268436766,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,14:42:39,1
268436779,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,15:22:39,1
268436768,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,16:02:39,1
268436781,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,16:42:39,1
268436770,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,17:22:39,1
268436637,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,18:03:39,1
268436772,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,18:43:39,1
268436639,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,19:21:39,1
268436774,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,20:26:39,1
268436742,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,07:23:16,1
268436754,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,07:58:32,1
268436744,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,08:39:32,1
268436756,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,09:20:32,1
268436746,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,10:00:32,1
268436758,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,10:41:32,1
268436748,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,11:21:32,1
268436760,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,12:00:32,1
268436750,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,12:41:32,1
268436762,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,13:20:32,1
268436777,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,14:01:32,1
268436766,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,14:41:32,1
268436779,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,15:21:32,1
268436768,CLOLUSA,11114,CLOLUS,10,AIGUELONGUE,1,16:01:32,1
