stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
S3634,,Pitot,43.612090811667,3.87034272852489,1,
292,07215,Pitot,43.612090811667,3.87034272852489,0,S3634
S3635,,Place Albert 1er,43.6164493475913,3.87424603509102,1,
1156,41127,Place Albert 1er,43.6164493475913,3.87424603509102,0,S3635
1187,41229,Place Albert 1er,43.6164038890181,3.87428193165593,0,S3635
S3636,,Place Carnot,43.6033043854567,3.88385059559379,1,
326,08131,Place Carnot,43.6033043854567,3.88385059559379,0,S3636
1215,42129,Place Carnot,43.6038310309685,3.88411227333693,0,S3636
1252,42241,Place Carnot,43.6038306772025,3.88413700523998,0,S3636
S3637,,Place de France,43.6036895748809,3.91506008433915,1,
368,09146,Place de France,43.6036895748809,3.91506008433915,0,S3637
399,09246,Place de France,43.6036694375821,3.91520797762296,0,S3637
1171,41161,Place de France,43.603724580047,3.91574144647471,0,S3637
1200,41261,Place de France,43.6037518992763,3.91571745995785,0,S3637
S3638,,Place de l'Europe,43.6082966506284,3.89429145662823,1,
371,09149,Place de l'Europe,43.6082966506284,3.89429145662823,0,S3638
392,09232,Place de l'Europe,43.6074715265701,3.89415761386362,0,S3638
583,18124,Place de l'Europe,43.6081812548828,3.89418933635568,0,S3638
1164,41143,Place de l'Europe,43.6071866399633,3.89396427404087,0,S3638
1179,41213,Place de l'Europe,43.6073039939688,3.89393035868125,0,S3638
S3639,,Place de Strasbourg,43.6031697265646,3.88006154730388,1,
72,03115,Place de Strasbourg,43.6031697265646,3.88006154730388,0,S3639
S3640,,Place d'Italie,43.6417886577733,3.8183694776032,1,
16,01130,Place d'Italie,43.6417886577733,3.8183694776032,0,S3640
31,01206,Place d'Italie,43.6418610583305,3.8183342201987,0,S3640
S3641,,Place du 8 Mai,43.5999475517205,3.86704798913779,1,
228,06127,Place du 8 Mai,43.5999475517205,3.86704798913779,0,S3641
245,06227,Place du 8 Mai,43.599586464867,3.86651878660143,0,S3641
S3642,,Plan Cabanes,43.6081693355143,3.86857964595194,1,
555,15218,Plan Cabanes,43.6081693355143,3.86857964595194,0,S3642
1276,43121,Plan Cabanes,43.608637436434,3.86789938195901,0,S3642
1306,43237,Plan Cabanes,43.6085719073046,3.868083201233,0,S3642
S3643,,Plan des 4 Seigneurs,43.640844025545,3.85795656017386,1,
226,06123,Plan des 4 Seigneurs,43.640844025545,3.85795656017386,0,S3643
790,23232,Plan des 4 Seigneurs,43.6408110357181,3.85774524364199,0,S3643
S3644,,Pléiade,43.6284835496651,3.84572158120133,1,
248,07106,Pléiade,43.6284835496651,3.84572158120133,0,S3644
302,07226,Pléiade,43.6284453614805,3.84588145952179,0,S3644
S3645,,Pompignane,43.6122792097737,3.89490733504466,1,
1218,42137,Pompignane,43.6122792097737,3.89490733504466,0,S3645
1249,42233,Pompignane,43.6124501254217,3.89489962500101,0,S3645
S3646,,Port Marianne,43.6015763562532,3.89962538372382,1,
1167,41149,Port Marianne,43.6015763562532,3.89962538372382,0,S3646
1176,41207,Port Marianne,43.6015648147091,3.89917973718665,0,S3646
S3647,,Porto,43.6003857852008,3.87986264047073,1,
508,12111,Porto,43.6003857852008,3.87986264047073,0,S3647
524,12207,Porto,43.6003323975579,3.87982408849627,0,S3647
S3648,,Pous de la Sers,43.6191236326195,3.86186977958743,1,
76,03121,Pous de la Sers,43.6191236326195,3.86186977958743,0,S3648
97,03209,Pous de la Sers,43.619268188103,3.86118069486939,0,S3648
S3649,,Primevères,43.5981873165172,3.88147314342496,1,
506,12109,Primevères,43.5981873165172,3.88147314342496,0,S3649
S3650,,Puccini,43.595226565229,3.85439193885249,1,
564,17134,Puccini,43.595226565229,3.85439193885249,0,S3650
572,17234,Puccini,43.5951724747983,3.85440287084021,0,S3650
S3651,,Puech Villa,43.6400820065708,3.82939149156508,1,
50,02129,Puech Villa,43.6400820065708,3.82939149156508,0,S3651
55,02203,Puech Villa,43.6397089517698,3.82971595378058,0,S3651
S3652,,Raimbaud d'Orange,43.6374853024761,3.82079526176382,1,
