longitude;latitude;d_inter;annee_inter;type_inter;type_support;rue;code_commune;equipement_concerne
3.87363203814288;43.5607047725116;18/12/2012 00:00;2012;Fuite;Branchement;PLAN DES PITTOSPORES;34129;Branchement
3.95313128167476;43.5569558550845;18/12/2012 00:00;2012;Fuite;Canalisation;R DES JONQUILLES;34198;Canalisation
3.94772252512235;43.5658732471557;13/12/2012 00:00;2012;Fuite;Branchement;R DES CYCLADES;34198;Branchement
3.95714512641267;43.5642118952293;12/12/2012 00:00;2012;Fuite;Canalisation;R DE LA GUETTE;34198;Canalisation
3.87652575815562;43.5564238031825;12/12/2012 00:00;2012;Fuite;Branchement;CHE DES JARDINS DE MAGUELONE;34129;Branchement
3.91310566247527;43.5783654744466;11/12/2012 00:00;2012;Fuite;Branchement;R DES VIGNES;34129;Branchement
3.95061496548974;43.5656829164046;10/12/2012 00:00;2012;Fuite;Branchement;AV DE MONTPELLIER;34198;Branchement
3.9431502690811;43.5710918838284;08/12/2012 00:00;2012;Fuite;Branchement;AV DE LA GALINE;34198;Branchement
3.95642460451712;43.5566816080405;06/12/2012 00:00;2012;Fuite;Branchement;R DU TRIDENT D'OR;34198;Branchement
3.94705707512526;43.5679185418313;06/12/2012 00:00;2012;Fuite;Branchement;AV DE MONTPELLIER;34198;Branchement
3.95542855052971;43.5644889872667;05/12/2012 00:00;2012;Fuite;Branchement;R DE L'ENCIERRO;34198;Branchement
3.95276713733028;43.5683095625727;04/12/2012 00:00;2012;Fuite;Branchement;R DES GRILLONS;34198;Branchement
3.87047044193435;43.5621881456454;30/11/2012 00:00;2012;Fuite;Branchement;PLAN DU PETIT TINAL;34129;Branchement
3.87142795000355;43.5580977079055;28/11/2012 00:00;2012;Fuite;Branchement;R DE CANTABEN;34129;Branchement
3.90784094145611;43.5719036454105;27/11/2012 00:00;2012;Fuite;Branchement;R RICHARD WAGNER;34129;Branchement
3.89902756968806;43.5653081388576;23/11/2012 00:00;2012;Fuite;Branchement;R DE NARBO;34129;Branchement
3.94745532049798;43.5651638311132;22/11/2012 00:00;2012;Fuite;Branchement;R CHARLES AMANS;34198;Branchement
3.94339094672717;43.5707353768347;09/11/2012 00:00;2012;Fuite;Branchement;AV DE LA GALINE;34198;Branchement
3.87102260357249;43.5582747002948;08/11/2012 00:00;2012;Fuite;Branchement;R DE CANTABEN;34129;Branchement
3.90786932097941;43.5739055773487;06/11/2012 00:00;2012;Fuite;Branchement;R DES MUSCADELS;34129;Branchement
3.90554481122951;43.567728840855;05/11/2012 00:00;2012;Fuite;Branchement;CHE DE LA CITE SAINT-JACQUES;34129;Branchement
3.95188050133363;43.5664790255347;03/11/2012 00:00;2012;Fuite;Branchement;R FONT MARTIN;34198;Branchement
3.90794809166975;43.5721790297263;02/11/2012 00:00;2012;Fuite;Branchement;R RICHARD WAGNER;34129;Branchement
3.89852124884483;43.5650209028091;31/10/2012 00:00;2012;Fuite;Branchement;R DE NARBO;34129;Branchement
3.94562195569298;43.5689333892226;31/10/2012 00:00;2012;Fuite;Branchement;AV DE MONTPELLIER;34198;Branchement
3.89903309179646;43.5640346051853;31/10/2012 00:00;2012;Fuite;Branchement;AV DE MASSILIA;34129;Branchement
3.90284218632748;43.5647325146745;30/10/2012 00:00;2012;Fuite;Branchement;R JACQUES CARTIER;34129;Branchement
3.9268115081666;43.5887874027531;30/10/2012 00:00;2012;Fuite;Branchement;R DE LA SYRAH;34129;Branchement
3.90865450849532;43.5721522030246;26/10/2012 00:00;2012;Fuite;Branchement;R RICHARD WAGNER;34129;Branchement
3.90598547478529;43.5665150926684;24/10/2012 00:00;2012;Fuite;Branchement;R DES COLVERTS;34129;Branchement
3.91089898809992;43.5776015448666;23/10/2012 00:00;2012;Fuite;Branchement;R DES VIGNES;34129;Branchement
